Chart Number,Glycan Name,Average RFU,StDev,% CV,t-value,p-value
599,Galb1-4GlcNAcb1-3Galb1-3GalNAca-Sp14,3.853325,1.432842958,37.18458625,-13.36271703,#NUM!
386,Galb1-3GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-6(Galb1-3GlcNAcb1-3)Galb1-4Glc-Sp21 ,3.844575,2.436540086,63.3760581,-7.861731934,#NUM!
540,GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp25,3.79925,7.684728521,202.2696196,-2.498559311,#NUM!
262,Fuca1-2Galb1-4(6S)Glcb-Sp0,3.7936,3.815588887,100.5796311,-5.033665987,#NUM!
107,Gala1-3(Fuca1-2)Galb-Sp8,3.7843,6.179746128,163.2995832,-3.109464305,#NUM!
517,Galb1-4(6P)GlcNAcb-Sp0 ,3.749325,2.982491282,79.5474194,-6.454562035,#NUM!
515,(3S)GalNAcb1-4GlcNAc-Sp8 ,3.74005,2.521227735,67.41160505,-7.639115553,#NUM!
31,(3S)Galb1-3GlcNAcb-Sp8,3.73845,3.690105399,98.70682767,-5.219783154,#NUM!
146,Galb1-3Galb-Sp8,3.71885,5.082968171,136.6811829,-3.793285606,#NUM!
466,Neu5Aca2-6Galb1-4GlcNAcb1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2)Mana1-6(GlcNAcb1-4)(Neu5Aca2-6Galb1-4GlcNAcb1-4(Neu5Aca2-6Galb1-4GlcNAcb1-2)Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,3.7008,5.359546236,144.8212883,-3.600901858,#NUM!
449,Fuca1-2Galb1-4GlcNAcb1-6(Fuca1-2Galb1-4GlcNAcb1-3)GalNAc-Sp14,3.69925,2.203885208,59.57654141,-8.757602224,#NUM!
94,GalNAcb1-3GalNAca-Sp8,3.679425,1.987114971,54.00612789,-9.722927601,#NUM!
565,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp25,3.6702,3.302504474,89.9815943,-5.85307307,#NUM!
421,GlcNAcb1-2(GlcNAcb1-6)Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,3.650475,1.887814803,51.71422356,-10.2496945,#NUM!
218,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,3.614575,3.619946337,100.1486022,-5.355169164,#NUM!
