Chart Number,Glycan Name,Average RFU,StDev,% CV,t-value,p-value
548,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,5.099125,4.277232002,83.88168562,-4.886542276,#NUM!
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,5.091225,4.487275574,88.13744381,-4.659570079,#NUM!
100,Gala1-2Galb-Sp8,5.0734,2.955561538,58.25603221,-7.080414239,#NUM!
335,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,5.07285,9.246371869,182.2717382,-2.263282323,#NUM!
470,Glca1-4Glca1-4Glca1-4Glcb-Sp10,5.04775,3.400211943,67.36094186,-6.162042353,#NUM!
511,(6S)(4S)GalNAcb1-4GlcNAc-Sp8,5.012375,0.506230852,10.09962049,-41.45860511,#NUM!
540,GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp25,4.992875,10.93453924,219.0028638,-1.921171486,#NUM!
94,GalNAcb1-3GalNAca-Sp8,4.986175,6.109717416,122.5331525,-3.439410298,#NUM!
390,Fuca1-2Galb1-3GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,4.9819,3.126604206,62.75927268,-6.722341114,#NUM!
122,Gala1-4Galb1-4Glcb-Sp0,4.908875,5.629712956,114.684382,-3.746394384,#NUM!
316,Mana1-2Mana1-6(Mana1-2Mana1-3)Mana1-6(Mana1-2Mana1-2Mana1-3)Mana-Sp9,4.882925,13.18189683,269.9590272,-1.601975442,#NUM!
568,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp25,4.870475,1.269976717,26.07500741,-16.63772628,#NUM!
134,GlcNAcb1-6(Galb1-3)GalNAca-Sp14,4.85265,3.41199283,70.31194975,-6.197946788,#NUM!
289,Galb1-3GlcNAcb1-3Galb1-3GlcNAcb-Sp0,4.846475,2.86024569,59.01703177,-7.395702079,#NUM!
203,GlcAb1-3Galb-Sp8,4.8404,4.162975253,86.00477755,-5.082807059,#NUM!
25,(3S)Galb1-4Glcb-Sp8,4.82375,4.355177642,90.28613926,-4.862316015,#NUM!
499,Fuca1-2Galb1-4GlcNAcb1-2Mana-Sp0,4.774825,6.553443016,137.24991,-3.238782263,#NUM!
182,GlcNAcb1-3Galb1-4GlcNAcb-Sp0,4.73745,6.607165033,139.4666969,-3.218104874,#NUM!
531,Galb1-4GlcNAcb1-2æMana1-6(GlcNAcb1-4)(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAc-Sp21,4.7201,8.465538531,179.3508301,-2.513708953,#NUM!
366,Neu5Aca2-6GlcNAcb1-4GlcNAc-Sp21,4.711775,3.972590515,84.31197405,-5.358776576,#NUM!
416,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3GalNAca-Sp14,4.689775,5.226881895,111.452722,-4.077043528,#NUM!
163,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,4.689475,4.171832057,88.96160139,-5.108193405,#NUM!
91,GalNAca1-3GalNAcb-Sp8,4.63885,2.637072812,56.84755515,-8.100326203,#NUM!
350,Galb1-4GlcNAcb1-2Mana1-6Manb1-4GlcNAcb1-4GlcNAc-Sp12,4.63265,3.670073918,79.22191225,-5.82204895,#NUM!
62,Fuca1-2Galb1-3GalNAca-Sp14,4.632475,3.391834533,73.21862576,-6.299695575,#NUM!
118,Gala1-3Galb-Sp8,4.621425,3.211717019,69.49624886,-6.656431708,#NUM!
157,Galb1-4GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,4.6198,3.244209721,70.22402963,-6.590264452,#NUM!
494,Fuca1-2Galb1-4GlcNAcb1-6GalNAca-Sp14,4.585125,3.420563885,74.60132242,-6.260627114,#NUM!
305,Galb1-4GlcNAcb1-6Galb1-4GlcNAcb-Sp0,4.5824,3.908693858,85.29796303,-5.479477488,#NUM!
599,Galb1-4GlcNAcb1-3Galb1-3GalNAca-Sp14,4.581425,4.714459126,102.9037718,-4.543166974,#NUM!
41,(6P)Mana-Sp8,4.559075,0.914264886,20.05373648,-23.45154596,#NUM!
16,GlcNAcb-Sp0,4.53175,1.409178064,31.09567086,-15.23458997,#NUM!
159,Galb1-4GlcNAcb1-3GalNAca-Sp8,4.489125,4.477676442,99.74497129,-4.804026212,#NUM!
165,Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp8,4.4818,2.774854912,61.9138496,-7.754711755,#NUM!
327,Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-6(Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,4.44335,3.606318382,81.16214977,-5.977467245,#NUM!
181,GlcNAcb1-3Galb-Sp8,4.4149,0.60181064,13.63135383,-35.86692982,#NUM!
76,Fuca1-2Galb1-4GlcNAcb-Sp8,4.32965,5.004639294,115.5899275,-4.330052323,#NUM!
262,Fuca1-2Galb1-4(6S)Glcb-Sp0,4.3283,4.314317458,99.67695072,-5.023204762,#NUM!
484,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp19,4.27815,2.499499769,58.42478102,-8.690478898,#NUM!
2,Glca-Sp8,4.2758,4.23970689,99.15587469,-5.123986295,#NUM!
236,Neu5Aca2-3GalNAca-Sp8,4.254425,5.67855926,133.4741889,-3.82941764,#NUM!
542,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,4.253575,3.766119434,88.54009707,-5.774226065,#NUM!
129,Galb1-3(Fuca1-4)GlcNAc-Sp8 ,4.22075,3.83439789,90.84636355,-5.679966093,#NUM!
383,Galb1-4(Fuca1-3)GlcNAcb1-6(Galb1-3GlcNAcb1-3)Galb1-4Glc-Sp21 ,4.213075,3.006932214,71.37143807,-7.245565728,#NUM!
3,Mana-Sp8,4.153725,2.369673785,57.04936618,-9.219106501,#NUM!
